IATA_CODE,LATITUDE,LONGITUDE
ATL,33.6407,-84.4277
DFW,32.8998,-97.0403
DEN,39.8561,-104.6737
ORD,41.9742,-87.9073
LAX,33.9416,-118.4085
CLT,35.2140,-80.9431
MCO,28.4312,-81.3081
LAS,36.0840,-115.1537
PHX,33.4341,-112.0080
MIA,25.7959,-80.2870
SEA,47.4502,-122.3088
IAH,29.9902,-95.3368
JFK,40.6413,-73.7781
EWR,40.6895,-74.1745
FLL,26.0742,-80.1506
MSP,44.8848,-93.2223
SFO,37.6190,-122.3748
DTW,42.2121,-83.3533
BOS,42.3656,-71.0096
SLC,40.7899,-111.9791
PHL,39.8729,-75.2437
BWI,39.1754,-76.6684
TPA,27.9772,-82.5311
SAN,32.7338,-117.1933
LGA,40.7769,-73.8740
MDW,41.7868,-87.7522
BNA,36.1263,-86.6774
IAD,38.9531,-77.4565
DCA,38.8512,-77.0402
AUS,30.1975,-97.6664
DAL,32.8481,-96.8512
HNL,21.3187,-157.9213
PDX,45.5898,-122.5951
HOU,29.6454,-95.2788
STL,38.7472,-90.3614
RSW,26.5362,-81.7552
SMF,38.6954,-121.5908
SJU,18.4394,-66.0018
MSY,29.9911,-90.2592
RDU,35.8801,-78.7884
MCI,39.2976,-94.7139
OAK,37.7213,-122.2207
SNA,33.6762,-117.8674
CLE,41.4109,-81.8494
IND,39.7173,-86.2944
SAT,29.5337,-98.4698
SJC,37.3619,-121.9290
CVG,39.0461,-84.6621
PIT,40.4915,-80.2329
CMH,39.9980,-82.8919
